type,num
艺人,33
幽默,73
社会新闻,88
影视,35
作品衍生,11
"社会新闻,艺人",2
"军事,国外要闻",3
情感,20
体育,48
综艺,57
网红,2
"科技,财经",7
时尚,1
美食,3
教育,6
其它,1
动漫,2
国内要闻,2
游戏,7
